"game_res","champions_names","game_time","control_score","kills","death","assists"
"Victory","Nocturne","26m 57s","29 (1.1)CS","4","14","13"
"Victory","Jarvan IV","11m 13s","21 (1.9)CS","6","5","30"
"Victory","Aatrox","18m 19s","34 (1.9)CS","15","9","24"
"Victory","Diana","20m 32s","31 (1.5)CS","13","10","21"
"Victory","Amumu","21m 5s","24 (1.1)CS","6","8","20"
"Victory","Brand","24m 0s","82 (3.4)CS","19","5","18"
"Victory","Jhin","18m 24s","32 (1.7)CS","12","3","27"
"Victory","Caitlyn","34m 37s","250 (7.2)CS","9","0","12"
"Victory","Aatrox","10m 35s","17 (1.6)CS","8","2","14"
"Defeat","Evelynn","27m 25s","114 (4.2)CS","3","1","3"
"Defeat","Darius","9m 10s","7 (0.8)CS","2","2","3"
"Defeat","Xin Zhao","20m 47s","29 (1.4)CS","11","11","7"
"Defeat","Lulu","24m 42s","22 (0.9)CS","0","12","52"
"Defeat","Darius","19m 59s","37 (1.9)CS","10","12","21"
"Defeat","Lissandra","17m 48s","31 (1.7)CS","6","7","20"
"Defeat","Aatrox","6m 48s","8 (1.2)CS","1","0","1"
"Defeat","Nautilus","24m 12s","28 (1.2)CS","0","2","23"
"Defeat","Tristana","14m 10s","86 (6.1)CS","5","5","9"
"Defeat","Fiora","29m 22s","129 (4.4)CS","2","4","0"
"Defeat","Nasus","16m 18s","38 (2.3)CS","13","7","22"
